ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4480,C5,275,2,144,145,176,82.1022727272727,9.90062988666422,0.0449265244692867,21.2078934037418,20.5876974455959,2.14207516557184,2.07943309478994,0.285672399446723,0.285672399446723,1,0
two_targets_moving_anchor_random,4513,C5,276,2,22,23,78,28.8461538461538,8.81438916286698,0.0463242371989708,13.3912395553551,22.5105669885214,1.51924759707335,2.55384310501666,0.255081055203752,0.255081055203752,1,0
two_targets_moving_anchor_random,4599,C5,277,2,9,10,15,63.3333333333333,14.0159248652878,0.0445270627890734,19.0307795869823,36.4878204020935,1.35779691814091,2.60331164391871,0.405844629978033,0.405844629978033,1,0
two_targets_moving_anchor_random,4601,C5,278,2,56,57,158,35.7594936708861,6.45175174852832,0.0426676677348096,10.2381558795679,10.6449036410983,1.58688001005358,1.64992455630774,0.185494978140162,0.185494978140162,1,0
two_targets_moving_anchor_random,4601,C5,279,2,133,134,158,84.4936708860759,6.52364074187033,0.0259093242550122,8.19646096200846,8.31430396647678,1.2564243321067,1.274488325685,0.187240041453676,0.187240041453676,1,0
two_targets_moving_anchor_random,4602,C5,280,2,27,28,36,76.3888888888889,17.2958191078496,0.0304587821101243,34.2297260989503,29.8456841678417,1.97907516755973,1.72560108207286,0.496152613642123,0.496152613642123,1,0
two_targets_moving_anchor_random,4602,C5,281,2,30,31,36,84.7222222222222,14.0566338514087,0.0449989276047911,29.8456841678417,25.9086025140442,2.12324547137939,1.84315838257733,0.403812075508331,0.403812075508331,1,0
two_targets_moving_anchor_random,4603,C5,282,2,20,21,29,70.6896551724138,23.3767360521918,0.0305315684356305,45.4452831244137,41.1813638704378,1.94403885225683,1.76163874111829,0.671723314068391,0.671723314068391,1,0
two_targets_moving_anchor_random,4604,C5,283,2,21,22,115,18.695652173913,25.0322859646585,0.0331697451692502,48.33420335476,44.1145479532444,1.93087452831915,1.76230600814991,0.719081835167036,0.719081835167036,1,0
two_targets_moving_anchor_random,4604,C5,284,2,29,30,115,25.6521739130435,14.0415021714388,0.043933877068163,34.7768371079439,31.0394320435582,2.47671771035166,2.2105492464114,0.403187189045332,0.403187189045332,1,0
two_targets_moving_anchor_random,4604,C5,285,2,63,64,115,55.2173913043478,12.2112846940979,0.0316631030990676,15.7334335648452,15.5455706947392,1.28843393295463,1.27304956719688,0.350641009037838,0.350641009037838,1,0
two_targets_moving_anchor_random,4605,C5,286,2,32,33,149,21.8120805369128,22.5482280265776,0.0274679830537608,35.6644185524535,34.6354008520117,1.58169495671304,1.53605865663532,0.646780920965167,0.646780920965167,1,0
two_targets_moving_anchor_random,4605,C5,287,2,126,127,149,84.8993288590604,21.4454964366496,0.0372481434036849,26.104399242929,27.6795109432393,1.21724387775503,1.29069107936042,0.616612080793809,0.616612080793809,1,0
two_targets_moving_anchor_random,4609,C5,288,2,25,26,67,38.0597014925373,23.8823462751775,0.0362001927563865,33.8621922732324,29.9502531381807,1.41787544167834,1.25407498882595,0.685909356451121,0.685909356451121,1,0
two_targets_moving_anchor_random,4610,C5,289,2,23,24,214,10.981308411215,28.6101874904905,0.0306647072273008,39.8994661128188,34.8089345265065,1.39458946663948,1.21666223047564,0.821401665771498,0.821401665771498,1,0
two_targets_moving_anchor_random,4610,C5,290,2,101,102,214,47.4299065420561,12.6034646134664,0.0339759672201114,23.7077634508025,23.0935169402615,1.88105129644047,1.83231497437513,0.361989718665093,0.361989718665093,1,0
two_targets_moving_anchor_random,4610,C5,291,2,155,156,214,72.6635514018692,15.9356887614368,0.0282701349241567,20.234906238003,21.1023922173638,1.26978548219202,1.3242221615441,0.457164268706252,0.457164268706252,1,0
